Abraham Lincoln,12.2.1809 (BC: False),15.4.1865 (BC: False)
Ayn Rand,2.2.1905 (BC: False),6.3.1982 (BC: False)
Alain Connes,1.4.1947 (BC: False),'alive'
Allan Dwan,3.4.1885 (BC: False),28.12.1981 (BC: False)
Andre Agassi,29.4.1970 (BC: False),'alive'
Aldous Huxley,26.7.1894 (BC: False),22.11.1963 (BC: False)
Andrei Tarkovsky,4.4.1932 (BC: False),29.12.1986 (BC: False)
Arthur Schopenhauer,22.2.1788 (BC: False),21.9.1860 (BC: False)
Albert Sidney Johnston,2.2.1803 (BC: False),6.4.1862 (BC: False)
Albert Einstein,14.3.1879 (BC: False),18.4.1955 (BC: False)
Alexander the Great,20.7.356 (BC: True),10.6.323 (BC: True)
Alfred Korzybski,3.7.1879 (BC: False),1.3.1950 (BC: False)
Alfred Hitchcock,13.8.1899 (BC: False),29.4.1980 (BC: False)
Alfred Nobel,21.10.1833 (BC: False),10.12.1896 (BC: False)
Alexander Graham Bell,3.3.1847 (BC: False),2.8.1922 (BC: False)
Andy Warhol,6.8.1928 (BC: False),22.2.1987 (BC: False)
Alp Arslan,20.1.1030 (BC: False),15.12.1072 (BC: False)
Akira Kurosawa,23.3.1910 (BC: False),6.9.1998 (BC: False)
A. E. van Vogt,26.4.1912 (BC: False),26.1.2000 (BC: False)
Anna Kournikova,7.6.1981 (BC: False),'alive'
Alfons Maria Jakob,2.7.1884 (BC: False),17.10.1931 (BC: False)
Arne Kaijser,None.None.1950 (BC: False),'alive'
Andrey Markov,14.6.1856 (BC: False),20.7.1922 (BC: False)
A. A. Milne,18.1.1882 (BC: False),31.1.1956 (BC: False)
Alvin Toffler,4.10.1928 (BC: False),27.6.2016 (BC: False)
Albert Speer,19.3.1905 (BC: False),1.9.1981 (BC: False)
Ada Lovelace,10.12.1815 (BC: False),27.11.1852 (BC: False)
August Derleth,24.2.1909 (BC: False),4.7.1971 (BC: False)
Albert Camus,7.11.1913 (BC: False),4.1.1960 (BC: False)
Agatha Christie,15.9.1890 (BC: False),12.1.1976 (BC: False)
Allen Ginsberg,3.6.1926 (BC: False),5.4.1997 (BC: False)
Anatoly Karpov,23.5.1951 (BC: False),'alive'
Aristophanes,None.None.446 (BC: True),None.None.386 (BC: True)
Albert Schweitzer,14.1.1875 (BC: False),4.9.1965 (BC: False)
Alexis Carrel,28.6.1873 (BC: False),5.11.1944 (BC: False)
Anatole France,16.4.1844 (BC: False),12.10.1924 (BC: False)
André Gide,22.11.1869 (BC: False),19.2.1951 (BC: False)
Avicenna,23.8.980 (BC: False),22.6.1037 (BC: False)
Abner Doubleday,26.6.1819 (BC: False),26.1.1893 (BC: False)
Augustin-Jean Fresnel,10.5.1788 (BC: False),14.7.1827 (BC: False)
Alan Garner,17.10.1934 (BC: False),'alive'
Anaximander,None.None.610 (BC: True),None.None.546 (BC: True)
Aleister Crowley,12.10.1875 (BC: False),1.12.1947 (BC: False)
Alan Turing,23.6.1912 (BC: False),7.6.1954 (BC: False)
Alexander Mackenzie (politician),28.1.1822 (BC: False),17.4.1892 (BC: False)
Ashoka,None.None.304 (BC: True),None.None.232 (BC: True)
Alfonso Cuarón,28.11.1961 (BC: False),'alive'
Antoninus Pius,19.9.86 (BC: False),7.3.161 (BC: False)
Augustus,23.9.63 (BC: True),19.8.14 (BC: False)
Alfred Lawson,24.3.1869 (BC: False),29.11.1954 (BC: False)
Arabian Prince,17.6.1965 (BC: False),'alive'
André-Marie Ampère,20.1.1775 (BC: False),10.6.1836 (BC: False)
Amos Bronson Alcott,29.11.1799 (BC: False),4.3.1888 (BC: False)
Alan Kay,17.5.1940 (BC: False),'alive'
Alfred Russel Wallace,8.1.1823 (BC: False),7.11.1913 (BC: False)
Albert Alcibiades, Margrave of Brandenburg-Kulmbach,28.3.1522 (BC: False),8.1.1557 (BC: False)
Albert the Bear,None.None.1100 (BC: False),18.11.1170 (BC: False)
Albert of Brandenburg,28.6.1490 (BC: False),24.9.1545 (BC: False)
Albert, Duke of Prussia,17.5.1490 (BC: False),20.3.1568 (BC: False)
Ahmed I,19.4.1590 (BC: False),22.11.1617 (BC: False)
Ahmed II,25.2.1643 (BC: False),6.2.1695 (BC: False)
Ahmed III,30.12.1673 (BC: False),1.7.1736 (BC: False)
Aga Khan III,2.11.1877 (BC: False),11.7.1957 (BC: False)
Alexander Agassiz,17.12.1835 (BC: False),27.3.1910 (BC: False)
Antonio Agliardi,4.9.1832 (BC: False),19.3.1915 (BC: False)
Agrippina the Younger,6.11.15 (BC: False),23.3.59 (BC: False)
Arthur Aikin,19.5.1773 (BC: False),15.4.1854 (BC: False)
Afonso de Albuquerque,None.None.1453 (BC: False),16.12.1515 (BC: False)
Alexander Jagiellon,5.8.1461 (BC: False),19.8.1506 (BC: False)
Alexander III of Russia,10.3.1845 (BC: False),1.11.1894 (BC: False)
Alexander I of Scotland,None.None.1078 (BC: False),23.4.1124 (BC: False)
Alexander II of Scotland,24.8.1198 (BC: False),6.7.1249 (BC: False)
Alexander I of Serbia,14.8.1876 (BC: False),11.6.1903 (BC: False)
Alexander III of Scotland,4.9.1241 (BC: False),19.3.1286 (BC: False)
Severus Alexander,None.None.208 (BC: False),19.3.235 (BC: False)
Alexander Jannaeus,None.None.127 (BC: True),None.None.76 (BC: True)
Alexios III Angelos,None.None.1153 (BC: False),None.None.1211 (BC: False)
Alexios V Doukas,None.None.1140 (BC: False),None.12.1204 (BC: False)
Alexei Petrovich, Tsarevich of Russia,28.2.1690 (BC: False),7.7.1718 (BC: False)
Andrew Jackson,15.3.1767 (BC: False),8.6.1845 (BC: False)
Andrew Johnson,29.12.1808 (BC: False),31.7.1875 (BC: False)
Aleksandr Solzhenitsyn,11.12.1918 (BC: False),3.8.2008 (BC: False)
Alessandro Algardi,27.11.1595 (BC: False),10.6.1654 (BC: False)
Alger of Liège,None.None.1055 (BC: False),None.None.1131 (BC: False)
Ibn al-Haytham,None.None.965 (BC: False),None.None.1040 (BC: False)
Alessandro Allori,31.5.1535 (BC: False),22.9.1607 (BC: False)
Afonso II of Portugal,23.4.1185 (BC: False),25.3.1223 (BC: False)
Afonso III of Portugal,5.5.1210 (BC: False),16.2.1279 (BC: False)
Afonso IV of Portugal,8.2.1291 (BC: False),28.5.1357 (BC: False)
Afonso V of Portugal,15.1.1432 (BC: False),28.8.1481 (BC: False)
Afonso VI of Portugal,21.8.1643 (BC: False),12.9.1683 (BC: False)
Alfonso XII of Spain,28.11.1857 (BC: False),25.11.1885 (BC: False)
Alfonso III of Aragon,4.11.1265 (BC: False),18.6.1291 (BC: False)
Alfonso IV of Aragon,2.11.1299 (BC: False),24.1.1336 (BC: False)
August Wilhelm Ambros,17.11.1816 (BC: False),28.6.1876 (BC: False)
Abu Bakr,27.10.573 (BC: False),23.8.634 (BC: False)
Anaxagoras,None.None.510 (BC: True),None.None.428 (BC: True)
Andocides,None.None.440 (BC: True),None.None.390 (BC: True)
Andrea Andreani,None.None.1540 (BC: False),None.None.1623 (BC: False)
Andrew II of Hungary,None.None.1177 (BC: False),None.None.1235 (BC: False)
Andronikos III Palaiologos,25.3.1297 (BC: False),15.6.1341 (BC: False)
Andronikos II Palaiologos,25.3.1259 (BC: False),13.2.1332 (BC: False)
Andronikos I Komnenos,None.None.1118 (BC: False),12.9.1185 (BC: False)
Arnold Schwarzenegger,30.7.1947 (BC: False),'alive'
Antoine Lavoisier,26.8.1743 (BC: False),8.5.1794 (BC: False)
Hermann Kolbe,27.9.1818 (BC: False),25.11.1884 (BC: False)
Amitabh Bachchan,11.10.1942 (BC: False),'alive'
Agathocles of Syracuse,None.None.361 (BC: True),None.None.289 (BC: True)
Augustin-Louis Cauchy,21.8.1789 (BC: False),23.5.1857 (BC: False)
Archimedes,None.None.287 (BC: True),None.None.212 (BC: True)
Alfred Jarry,8.9.1873 (BC: False),1.11.1907 (BC: False)
Aimery of Cyprus,None.None.1153 (BC: False),None.None.1205 (BC: False)
A. G. Spalding,2.9.1849 (BC: False),9.9.1915 (BC: False)
Alessandro Volta,18.2.1745 (BC: False),5.3.1827 (BC: False)
Alexander Fleming,6.8.1881 (BC: False),11.3.1955 (BC: False)
Andrew Carnegie,25.11.1835 (BC: False),11.8.1919 (BC: False)
Andrea Alciato,8.5.1492 (BC: False),12.1.1550 (BC: False)
Alan Ayckbourn,12.4.1939 (BC: False),'alive'
Alvar Aalto,3.2.1898 (BC: False),11.5.1976 (BC: False)
A. J. Ayer,29.10.1910 (BC: False),27.6.1989 (BC: False)
André Weil,6.5.1906 (BC: False),6.8.1998 (BC: False)
Atle Selberg,14.6.1917 (BC: False),6.8.2007 (BC: False)
Aeschylus,None.None.523 (BC: True),None.None.456 (BC: True)
Andrew Wiles,11.4.1953 (BC: False),'alive'
Anne Brontë,17.1.1820 (BC: False),28.5.1849 (BC: False)
Augustine of Hippo,13.11.354 (BC: False),28.8.430 (BC: False)
August Horch,12.10.1868 (BC: False),3.2.1951 (BC: False)
Alexander Grothendieck,28.3.1928 (BC: False),13.11.2014 (BC: False)
Amerigo Vespucci,9.3.1454 (BC: False),22.2.1512 (BC: False)
Aristide Maillol,8.12.1861 (BC: False),27.9.1944 (BC: False)
Antonio Canova,1.11.1757 (BC: False),13.10.1822 (BC: False)
Auguste Rodin,12.11.1840 (BC: False),17.11.1917 (BC: False)
Adam Weishaupt,6.2.1748 (BC: False),18.11.1830 (BC: False)
Auguste and Louis Lumière,19.10.1862 (BC: False),10.4.1954 (BC: False)
Andrew Tridgell,28.2.1967 (BC: False),'alive'
Ani DiFranco,23.9.1970 (BC: False),'alive'
